image_path,lanna_text,thai_translation,reading,font,font_size
images/lanna_00000_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,67
images/lanna_00001_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,58
images/lanna_00002_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,68
images/lanna_00003_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,80
images/lanna_00004_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,64
images/lanna_00005_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,80
images/lanna_00006_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,84
images/lanna_00007_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,58
images/lanna_00008_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,82
images/lanna_00009_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,67
images/lanna_00010_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,68
images/lanna_00011_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,64
images/lanna_00012_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,60
images/lanna_00013_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,70
images/lanna_00014_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,62
images/lanna_00015_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,85
images/lanna_00016_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,84
images/lanna_00017_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,65
images/lanna_00018_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,70
images/lanna_00019_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,84
images/lanna_00020_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,69
images/lanna_00021_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,64
images/lanna_00022_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,83
images/lanna_00023_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,71
images/lanna_00024_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,83
images/lanna_00025_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,78
images/lanna_00026_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,59
images/lanna_00027_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,83
images/lanna_00028_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,84
images/lanna_00029_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,76
images/lanna_00030_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,59
images/lanna_00031_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,61
images/lanna_00032_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,64
images/lanna_00033_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,83
images/lanna_00034_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,62
images/lanna_00035_LNTilok.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,58
images/lanna_00036_LN-TILOK-6.10.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,58
images/lanna_00037_PayapLanna-Bold.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,85
images/lanna_00038_PayapLanna-Regular.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,83
images/lanna_00039_NotoSansTaiTham.jpg,ᨩ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,68
images/lanna_00040_LNTilok.jpg,ᨧ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LNTilok,58
images/lanna_00041_LN-TILOK-6.10.jpg,ᨧ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,LN-TILOK-6.10,65
images/lanna_00042_PayapLanna-Bold.jpg,ᨧ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Bold,76
images/lanna_00043_PayapLanna-Regular.jpg,ᨧ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,PayapLanna-Regular,65
images/lanna_00044_NotoSansTaiTham.jpg,ᨧ᩠ᨿᨦᩲᩉ᩠ᨾ᩵,เชียงใหม่,เจียง-ใหม่,NotoSansTaiTham,76
